COUNTRY,Vaccines - Total doses administered per 100 population,PERSONS_BOOSTER_ADD_DOSE_PER100
Senegal,18.972,4.328
Sint Maarten,155.844,21.328
South Africa,70.477,7.437
Sri Lanka,187.345,38.387
United Arab Emirates,251.982,51.956
United States of America,202.078,35.235
Uzbekistan,245.6,47.684
Wallis and Futuna,153.859,29.788
Solomon Islands,89.2,4.061
Sudan,51.537,8.874
Tonga,193.705,36.509
United Republic of Tanzania,65.946,
Uruguay,259.755,59.877
Venezuela (Bolivarian Republic of),133.145,2.291
Algeria,34.817,1.313
Angola,84.095,9.085
Armenia,76.2,2.915
Aruba,203.224,33.399
Brazil,241.499,51.93
Burkina Faso,37.763,0.019
Costa Rica,262.499,58.066
Dominica,93.966,5.547
Finland,240.1,55.67
French Guiana,81.087,15.512
Gabon,25.73,0.116
Haiti,5.825,
Iceland,238.9,67.656
Jersey,247.646,68.335
Lebanon,85.192,9.673
Malaysia,224.957,50.488
Marshall Islands,187.083,31.353
Myanmar,171.802,29.383
Oman,138.762,15.272
Pakistan,154.329,24.03
Republic of Moldova,,13.221
Saint Kitts and Nevis,120.877,6.514
Slovenia,142.8,30.681
Somalia,66.417,0.177
Togo,41.218,5.168
Tokelau,469.778,71.704
Tunisia,112.139,10.649
Vanuatu,115.721,5.39
Zambia,74.063,7.695
Zimbabwe,93.758,15.426
New Caledonia,168.301,36.191
Nigeria,64.137,8.076
Niue,304.265,75.711
occupied Palestinian territory,73.481,6.605
Saba,257.579,60.528
San Marino,204.3,57.335
South Sudan,39,4.584
Tajikistan,215.2,54.155
Turks and Caicos Islands,190.885,19.224
Antigua and Barbuda,139.399,10.046
Bonaire,205.929,38.848
Colombia,177.872,29.072
Comoros,96.023,
Cyprus,209.3,53.875
Democratic Republic of the Congo,21.001,
Equatorial Guinea,34.836,0.328
Eritrea,,
Ghana,82.467,15.467
Iraq,48.623,0.684
Isle of Man,223.438,62.715
Jamaica,51.53,1.553
Liechtenstein,183.5,47.255
Mali,29.246,
Martinique,107.075,24.761
Mexico,172.358,44.22
Monaco,181,48.536
Montenegro,83.4,0
Morocco,150.064,18.651
Mozambique,111.823,7.434
Northern Mariana Islands (Commonwealth of the),214.632,45.383
Norway,229.8,55.673
Panama,206.312,41.015
Peru,271.728,67.158
Poland,153.4,33.289
Puerto Rico,274.281,63.225
Sao Tome and Principe,120.398,15.799
Suriname,94.538,8.334
Azerbaijan,136.4,33.982
Belgium,252.7,62.365
Bhutan,260.68,82.249
Bosnia and Herzegovina,,
China,239.034,56.689
Cook Islands,228.194,58.301
Czechia,174.1,41.516
Djibouti,44.757,
Dominican Republic,147.244,23.546
Germany,232.4,62.645
Gibraltar,394.2,145.944
Guatemala,113.703,20.762
Israel,207,50.271
Kazakhstan,204.3,35.431
Kuwait,193.444,34.13
Lao People's Democratic Republic,190.768,33.689
Micronesia (Federated States of),172.791,26.549
Rwanda,210.945,32.621
"Saint Helena, Ascension and Tristan da Cunha",129.995,
Saint Lucia,66.971,4.284
Serbia,97.1,0
Sweden,225,53.03
Tuvalu,227.129,48.719
Thailand,199.632,39.371
The United Kingdom,222.8,
Turkey,,32.906
Afghanistan,56.733,6.361
Burundi,0.348,0.003
Cabo Verde,154.669,0.135
Cayman Islands,231.013,36.616
Falkland Islands (Malvinas),269.595,73.012
Faroe Islands,212.614,43.557
France,234.8,60.47
Italy,252,76.092
Kiribati,184.162,31.483
Nauru,296.816,71.119
New Zealand,254.081,56.391
Nicaragua,233.951,43.664
Palau,282.069,71.219
Paraguay,137.177,23.283
Philippines,172.764,21.729
Pitcairn Islands,234,46
Republic of Korea,265.125,65.622
Russian Federation,128.4,
Samoa,228.376,41.463
Sierra Leone,114.779,15.065
Singapore,261.566,81.519
Sint Eustatius,137.592,24.435
Spain,238.5,56.024
Switzerland,193.6,57.49
Syrian Arab Republic,29.088,0.434
Timor-Leste,153.613,25.643
Viet Nam,273.779,59.56
